Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.125925790698052,2.169797609510339,2.082053971885766,-1.239114462400328,-1.735804627540975,-1.871912712932162,-1.981201975372228,-2.020521739154494,-1.896356024030128,-1.988779513501922,-1.985023235510095,-1.893080754699265,-1.540724084452695,2.049083088007976,2.094125232126225,1.957464433253142,0.03346703103493525,-0.6812452853400589,1.831965561021688,0.2572063959715816
2,2.077052643436136,2.128463353422846,2.025641933449426,-1.239114462400328,-1.735804627540975,-2.028932560104881,-2.171761182798781,-2.012318783445437,-2.015317667884486,-2.109283528965783,-1.985023235510095,-1.718367453738054,-1.172499169868051,1.750219522677474,1.880178017364696,1.541695770073756,0.03572112076631747,-0.6247596535053789,0.4877749469559237,0.2525914158103206
3,2.094800972569397,2.133446122283827,2.056155822854968,-1.51299721679928,-1.917927594288818,-2.00073276761976,-2.214468478718447,-2.126478935239044,-2.015317667884486,-2.109283528965783,-1.985023235510095,-1.893080754699265,-1.333117613355335,1.858752105917904,1.905968962225318,1.766589593417198,0.03599078753743473,-0.618002026362454,-0.2070174715582242,0.2502060002345201
4,2.080815324126966,2.110737105869699,2.050893542384234,-0.68144508952533,-1.36932716766713,-1.714830129899577,-1.87883202105834,-1.886443440024937,-1.773530193115649,-1.988779513501922,-1.985023235510095,-1.718367453738054,-1.540724084452695,1.773228643830148,1.788426486040615,1.727805472558655,0.03572112076631747,-0.6247596535053789,1.831965561021688,0.2572063959715816
5,1.995758641187512,1.997655846513855,1.99386143586117,-1.3205532920316,-1.255193719009867,-1.373777205272847,-1.477961429740635,-1.612309607387325,-1.748078619970387,-1.657753861378924,-1.520221733011464,-1.560204460347733,-1.202372646766274,1.253099596641089,1.203114863891223,1.307466776339447,0.03319799646373008,-0.6879870700739692,1.237153387947045,0.2551642403801859
6,1.817052941458102,1.784083758929644,1.85002212398656,-0.4620857372635796,-0.2220967813181715,-0.1894862325753911,-0.3587854559312892,-0.7390718024106703,-0.8811839347174902,-0.661436903855757,-0.6538591108237245,-0.547890494690637,-0.5305102681749984,0.1602986300941454,0.0976600277686643,0.247340603479428,0.0329469119991588,-0.694279039922252,0.07445505636508229,0.2511723736928029
7,1.657652865092818,1.620037367716231,1.695268362469404,1.02875362792663,0.7111336116758858,0.5926538185045283,0.3609231754510496,-0.1274071565955954,-0.2568648547821946,0.05130365215157786,0.3810102088473772,0.6939996012709678,0.9448258547607029,-0.8144467629369417,-0.7514484796518858,-0.8932273733466248,0.03659666118272856,-0.6028193319071553,-1.603149620203904,0.2454126903415057
8,1.649920314621082,1.581103830681918,1.718736798560246,1.313179975352666,1.366392423920334,1.035217041882621,0.6892403282345473,0.01615969608584561,0.3405313879793986,0.6874123238288965,0.8993927623163073,1.014444041631086,0.9448258547607029,-0.8617319846292582,-0.952969508400402,-0.7202600321396332,0.04138847262337261,-0.4827404845174142,-1.053626356119953,0.2472993565147117
9,1.630717133011137,1.564989878601309,1.696444387420965,1.944381940114969,1.557776953564679,1.166834402312485,0.8684936912998371,0.2506504550589865,0.5895401462188112,0.7609605046082681,0.9408746595688973,1.132291314450625,1.417193440092736,-0.9791611178684297,-1.036375755246831,-0.8845598205417772,0.03374045447626509,-0.6743935191362097,-0.5148986877927754,0.2491489584057205
10,1.580914818001179,1.51078439954908,1.651045236453278,2.424327494556903,1.462024894952553,1.270877417928691,0.9142509019969454,0.37753777321357,0.3755637913142104,0.6644661411179529,0.9408746595688973,1.27809801957991,1.737687062631709,-1.283706625155352,-1.316944764242447,-1.21916117214185,0.02565536696823873,-0.876999151898443,0.04409637000167179,0.2510681438805851
11,1.641381312682218,1.585972019350913,1.696790606013523,1.142137463076761,1.080229194051684,0.9566880969994789,0.7642283120579964,0.3224828512081575,0.6733870366082515,0.7386124458970823,1.016189584264901,1.044599357271103,0.9448258547607029,-0.9139487274990513,-0.9277716336773036,-0.8820081162356483,0.02524656914547369,-0.88724328858477,-0.7121497536403906,0.2484717406464617
12,1.643216364341159,1.62619562018902,1.660237108493298,0.3860053152611247,0.899517765302665,0.9059594152717694,0.6892403282345473,0.4853298338551941,0.3755637913142104,0.4206046111848137,0.7580098321468857,0.9569239057831287,1.19288976756363,-0.9027272262845328,-0.7195732001848344,-1.151415129699011,0.03321199474378417,-0.6876362847070666,0.3641981544879884,0.2521671423184036
13,1.645495008151473,1.600404980850962,1.690585035451984,0.6923677612777507,0.7952034415502844,0.8521273186187104,0.7188394291221746,0.628810241757928,0.4600680320431793,0.6439590349565618,0.8334671181303812,1.014444041631086,0.9448258547607029,-0.8887931203097514,-0.8530662390245087,-0.9277444847157149,0.03374045447626509,-0.6743935191362097,-2.155302473495141,0.2435169960573333
14,1.648507377617163,1.611986759050013,1.685027996184313,0.6923677612777507,0.7952034415502844,0.7211776941978839,0.7188394291221746,0.4853298338551941,-0.006447935296931303,0.4206046111848137,0.6071516288566253,0.7816237189602016,0.969552253305203,-0.8703722178500812,-0.7931186453765677,-0.9687010402949389,0.02587774729109386,-0.871426484196182,-0.1751214613418133,0.2503155081070136
15,1.664100646929612,1.62619562018902,1.702005673670204,0.3582701099567395,0.6926605908371273,0.6948403643912471,0.7188394291221746,0.7201890169900759,0.1845484819626759,0.5425131261026517,0.6985958057155573,0.6484668158665418,0.6524292557407766,-0.7750180136916638,-0.7195732001848344,-0.8435719638095062,0.03293324609693921,-0.6946214961744221,0.02070294049702252,0.2509878277320135
16,1.656634412954527,1.649272638286745,1.66399618762231,0.5551627686803253,0.6582673237828933,0.7077881869847763,0.734284919574154,0.7663882064388762,0.3333833149840321,0.5693646437051516,0.7274360171189971,0.8144488480749242,0.969552253305203,-0.8206746867401021,-0.6001259374456936,-1.1237099208894,0.04023892374872815,-0.5115472323611749,0.3884476426811385,0.2522503975544996
17,1.652320406170914,1.603501361773878,1.70113945056795,0.1832322509131922,0.4962058101759352,0.5915090913930252,0.526360293695636,0.6488168294720479,0.5665975976489646,0.638766252645586,0.7319366078662111,0.6484668158665418,0.6524292557407766,-0.8470552151169857,-0.837039288572163,-0.8499562114137807,0.04072834405475367,-0.4992827626580893,-0.4938190856291874,0.2492213305416172
18,1.694551678884264,1.6378497563485,1.751253601420027,-0.1180424971768078,0.2609513293637439,0.5249523289920591,0.5848814021972001,0.7663882064388762,0.4231084569702824,0.46768246366908,0.5242101299613028,0.3704855730652382,0.2478836826890269,-0.5888072929212472,-0.6592510797989091,-0.4806043127113203,0.04858597706420443,-0.3023769522617579,0.3641981544879884,0.2521671423184036
19,1.73244349376745,1.699457182143866,1.765429805391033,-0.5600040859979686,0.1232592579947418,0.3552744875154724,0.6009394413761001,0.8129231275678569,0.3986672821805698,0.4916673678985288,0.3974104206346498,0.2970115566857348,-0.01734628812648036,-0.3570955344755891,-0.3403693965373,-0.3761226889771465,0.08928642019185212,0.7175426250333702,-1.053626356119953,0.2472993565147117
20,1.815579126972161,1.759555683156561,1.871602570787761,0.08241983565842928,0.1232592579947418,0.197838308405929,0.3369475706045908,0.6259155107017611,0.9942876259065908,0.5964181915571625,0.1872436963750356,-0.06902541028830804,-0.1671802165136586,0.151286125752168,-0.02929794829852154,0.4063930640189328,0.12207676504748,1.539241655671083,0.02070294049702252,0.2509878277320135
21,1.816544221454262,1.775064292447127,1.858024150461397,-0.3894453351110072,-0.4114674201592809,-0.1524163249063862,0.05811913795485418,0.5351713785532085,0.6141483031064092,0.3504745541663661,-4.602977457372175e-06,-0.2447231504619729,-0.7497754099978704,0.1571877628261179,0.05097502808015264,0.3063172322698102,0.1311876731440347,1.767553507349684,1.090444484068035,0.2546605479173781
22,1.84398642827276,1.820617659766624,1.867355196778895,-0.6885620958483168,-0.3066722459070832,-0.1292101882386774,0.2063581877114314,0.6338746748876675,0.775409108229448,0.494912486512204,-4.602977457372175e-06,-0.2141048809398746,-0.3863184741528096,0.3249992550216306,0.2867604753949838,0.3750890185946281,0.1382858653200424,1.945428356058529,0.5875361175210083,0.2529339236497627
23,1.851794067269994,1.82225136435283,1.881336770187157,-0.5393698542507924,-0.6095249403292252,-0.2527230621991002,0.06165807781983212,0.6654285119999951,0.8847307575134447,0.5454989048182454,0.1682206863883803,-0.2591732381791355,-0.4585104191192952,0.3727436496075096,0.2952165740174418,0.4781361738867997,0.12207676504748,1.539241655671083,1.690646048035944,0.2567212067863547
24,1.877517914681182,1.850949777431056,1.904086051931307,-0.8370138369223462,-0.5060931352393143,-0.2312854786996889,0.1696975972299236,0.5649963250243769,0.8847307575134447,0.4446621878246129,-0.01835951868034296,-0.4051344265175348,-1.259226756185859,0.5300472239021018,0.4437603274883148,0.6458031953458817,0.12207676504748,1.539241655671083,-1.053626356119953,0.2472993565147117
25,1.879374869452385,1.866509098592479,1.892240640312291,-0.286815016856796,-0.3870451842965115,-0.2866568407229272,0.05811913795485418,0.3966604155998125,0.938397692231572,0.5407711585158932,0.1138119009112798,-0.2141048809398746,-0.9683355783094402,0.5414026645616768,0.5242957898665481,0.558500004570288,0.1139267842183752,1.335009849739284,-1.032652684064964,0.2473713649630893
26,1.78776335608482,1.758732897738734,1.816793814430905,-0.9280433214688004,-0.5651278534201625,-0.3417744702272904,0.3027497528596856,0.8214985755481335,0.7804333339561899,0.4446621878246129,0.2067067918391703,0.04195374910262263,-0.2922793806364998,-0.01880974336091008,-0.03355670762197108,0.00244092910839919,0.1130586025000897,1.313253931054271,0.02070294049702252,0.2509878277320135
